surname,first_names,age,boarded,class,survivor_victim,lifeboat_number
Duff Gordon,"Lucy Christiana, Lady",48,Cherbourg,1st,S,NA
Earnshaw,Mrs Olive,23,Cherbourg,1st,S,NA
Endres,Miss Caroline Louise (Nurse to Mrs Madeleine Astor),39,Cherbourg,1st,S,NA
Eustis,Miss Elizabeth Mussey,54,Cherbourg,1st,S,NA
Flegenheim,Mrs Antoinette,48,Cherbourg,1st,S,NA
Fleming,Miss Margaret (Maid to Mr & Mrs Thayer),42,Cherbourg,1st,S,NA
Flynn,Mr John Irwin,36,Southampton,1st,S,NA
Fortune,Mrs Mary,60,Southampton,1st,S,NA
Fortune,Miss Ethel Flora,28,Southampton,1st,S,NA
Fortune,Miss Alice Elizabeth,24,Southampton,1st,S,NA
Fortune,Miss Mabel Helen,23,Southampton,1st,S,NA
Francatelli,Miss Laura Mabel (Secretary to Lady Duff-Gordon),31,Cherbourg,1st,S,NA
Frauenthal,Mr Isaac Gerald,43,Cherbourg,1st,S,NA
Frauenthal,Dr Henry William,49,Southampton,1st,S,NA
Frauenthal,Mrs Clara,42,Southampton,1st,S,NA
Frölicher,Miss Hedwig Margaritha,22,Cherbourg,1st,S,NA
Frölicher-Stehli,Mr Maximilian Josef,60,Cherbourg,1st,S,NA
Frölicher-Stehli,Mrs Margaretha Emerentia,48,Cherbourg,1st,S,NA
Futrelle,Mrs Lily May,35,Southampton,1st,S,NA
Gibson,Mrs Pauline Caroline,44,Cherbourg,1st,S,NA
Gibson,Miss Dorothy Winifred,22,Cherbourg,1st,S,NA
Gieger,Miss Amalie (Maid to Mrs George Dunton Widener),35,Southampton,1st,S,NA
Goldenberg,Mr Samuel L.,47,Cherbourg,1st,S,NA
Goldenberg,Mrs Nella,40,Cherbourg,1st,S,NA
Gracie,Colonel Archibald,53,Southampton,1st,S,NA
Graham,Mrs Edith,59,Southampton,1st,S,NA
Graham,Miss Margaret Edith,19,Southampton,1st,S,NA
Greenfield,Mrs Blanche,45,Cherbourg,1st,S,NA
Greenfield,Mr William Bertram,23,Cherbourg,1st,S,NA
Harder,Mr George Achilles,25,Cherbourg,1st,S,NA
Harder,Mrs Dorothy,21,Cherbourg,1st,S,NA
Harper,Mr Henry Sleeper,48,Cherbourg,1st,S,NA
Harper,Mrs Myra Raymond,49,Cherbourg,1st,S,NA
Harris,Mrs Irene,35,Southampton,1st,S,NA
Hassab,Mr Hammad (Interpreter to Mr Henry Sleeper Harper),27,Cherbourg,1st,S,NA
Hawksford,Mr Walter James,45,Southampton,1st,S,NA
Hays,Mrs Clara Jennings,52,Southampton,1st,S,NA
Hays,Miss Margaret Bechstein,24,Cherbourg,1st,S,NA
Hippach,Mrs Ida Sophia,44,Cherbourg,1st,S,NA
Hippach,Miss Jean Gertrude,17,Cherbourg,1st,S,NA
Hogeboom,Mrs Anna Louisa,51,Cherbourg,1st,S,NA
Holverson,Mrs Mary Aline,35,Southampton,1st,S,NA
Homer,Mr Harry,40,Southampton,1st,S,NA
Hoyt,Mr Frederick Maxfield,38,Southampton,1st,S,NA
Hoyt,Mrs Jane Anne,31,Southampton,1st,S,NA
Hoyt,Mr William Fisher,42,Cherbourg,1st,S,NA
Icard,Miss Rose Amélie (Maid to Mrs George Nelson Stone),39,Southampton,1st,S,NA
Ismay,Mr Joseph Bruce,49,Southampton,1st,S,NA
Kenyon,Mrs Marion Estelle,40,Southampton,1st,S,NA
Kimball,Mr Edwin Nelson Jr.,42,Southampton,1st,S,NA
Kimball,Mrs Susan Gertrude,45,Southampton,1st,S,NA
Kreuchen,Miss Emilie (Maid to Mrs Edward Scott Robert),29,Southampton,1st,S,NA
Leader,Dr Alice May,49,Southampton,1st,S,NA
Leroy,Miss Berthe (Maid to Mrs Walter Donald Douglas),27,Cherbourg,1st,S,NA
Lesueur,Mr Gustave J. (Manservant to Mr Thomas Cardeza),35,Cherbourg,1st,S,NA
Lindström,Mrs Sigrid,55,Cherbourg,1st,S,NA
Lines,Mrs Elizabeth Lindsey,50,Cherbourg,1st,S,NA
Lines,Miss Mary Conover,16,Cherbourg,1st,S,NA
Longley,Miss Gretchen Fiske,21,Cherbourg,1st,S,NA
Lurette,Miss Eugénie Elise (Maid to Mr & Mrs Spencer),59,Cherbourg,1st,S,NA
Madill,Miss Georgette Alexandra,16,Southampton,1st,S,NA
Maioni,Miss Roberta Elizabeth Mary (Maid to the Countess of Rothes),19,Southampton,1st,S,NA
Maréchal,Mr Pierre,29,Cherbourg,1st,S,NA
Marvin,Mrs Mary Graham Carmichael,18,Southampton,1st,S,NA
Mayné,Mlle Berthe Antonine,24,Cherbourg,1st,S,NA
McGough,Mr James Robert,35,Southampton,1st,S,NA
Meyer,Mrs Leila,25,Cherbourg,1st,S,NA
Minahan,Mrs Lillian E.,37,Queenstown,1st,S,NA
Minahan,Miss Daisy E.,33,Queenstown,1st,S,NA
Mock,Mr Philipp Edmund,30,Cherbourg,1st,S,NA
Newell,Miss Marjorie Anne,23,Cherbourg,1st,S,NA
Newell,Miss Madeleine,31,Cherbourg,1st,S,NA
Newsom,Miss Helen Monypeny,19,Southampton,1st,S,NA
Nourney,Mr Alfred,20,Cherbourg,1st,S,NA
Oliva Y Ocana,Doña Fermina (Maid to Mrs Victor de Satode Peñasco y Castellana),39,Cherbourg,1st,S,NA
Omont,Mr Alfred Fernand,29,Cherbourg,1st,S,NA
Østby,Miss Helen Ragnhild,22,Southampton,1st,S,NA
Pears,Mrs Edith,22,Southampton,1st,S,NA
Peñasco Y Castellana,Mrs Maria Josefa Perezde Soto y Vallejo,22,Cherbourg,1st,S,NA
Perreault,Miss Mary Anne (Maid to Mrs Charles Melville Hays),33,Southampton,1st,S,NA
Peuchen,Major Arthur Godfrey,52,Southampton,1st,S,NA
Potter,Mrs Lily Alexenia,56,Cherbourg,1st,S,NA
Rheims,Mr George Alexander Lucien,33,Cherbourg,1st,S,NA
Robert,Mrs Elisabeth Walton,43,Southampton,1st,S,NA
Romaine,Mr Charles Hallace,45,Southampton,1st,S,NA
Rosenbaum,Miss Edith Louise,33,Cherbourg,1st,S,NA
Rothes,"Lucy Noël Martha, Countess of",33,Southampton,1st,S,NA
Rothschild,Mrs Elizabeth Jane Anne,54,Cherbourg,1st,S,NA
Ryerson,Mrs Emily Maria,48,Cherbourg,1st,S,NA
Ryerson,Miss Emily Borie,18,Cherbourg,1st,S,NA
Ryerson,Miss Susan Parker “Suzette”,21,Cherbourg,1st,S,NA
Ryerson,Master John Borie,13,Cherbourg,1st,S,NA
Saalfeld,Mr Adolphe,47,Southampton,1st,S,NA
Salomon,Mr Abraham Lincoln,43,Cherbourg,1st,S,NA
Sägesser,Mlle Emma (Maid to Mme. Léontine Pauline Aubart),24,Cherbourg,1st,S,NA
Schabert,Mrs Emma,35,Cherbourg,1st,S,NA
Serreplan,Miss Auguste (Maid to Mrs William Carter),30,Southampton,1st,S,NA
Seward,Mr Frederic Kimber,34,Southampton,1st,S,NA
Shutes,Miss Elizabeth Weed (Governess to Miss Margaret Edith Graham),40,Southampton,1st,S,NA
Silverthorne,Mr Spencer Victor,35,Southampton,1st,S,NA
Silvey,Mrs Alice Gray,39,Cherbourg,1st,S,NA
Simonius-Blumer,Mr Colonel (Oberst) Alfons,56,Southampton,1st,S,NA
Sloper,Mr William Thompson,28,Southampton,1st,S,NA
Smith,Mrs Mary Eloise,18,Cherbourg,1st,S,NA
Snyder,Mr John Pillsbury,24,Southampton,1st,S,NA
Snyder,Mrs Nelle,23,Southampton,1st,S,NA
Spedden,Mr Frederic Oakley,45,Cherbourg,1st,S,NA
Spedden,Mrs Margaretta Corning “Daisy”,39,Cherbourg,1st,S,NA
Spedden,Master Robert Douglas,6,Cherbourg,1st,S,NA
Spencer,Mrs Marie Eugenie,45,Cherbourg,1st,S,NA
Stähelin-Maeglin,Dr Max,32,Southampton,1st,S,NA
Stengel,Mr Charles Emil Henry,54,Cherbourg,1st,S,NA
Stengel,Mrs Annie May,44,Cherbourg,1st,S,NA
Stephenson,Mrs Martha,52,Cherbourg,1st,S,NA
Stone,Mrs Martha Evelyn,62,Southampton,1st,S,NA
Swift,Mrs Margaret Welles,46,Southampton,1st,S,NA
Taussig,Mrs Tillie,39,Southampton,1st,S,NA
Taussig,Miss Ruth,18,Southampton,1st,S,NA
Taylor,Mr Elmer Zebley,48,Southampton,1st,S,NA
Taylor,Mrs Juliet Cummins,49,Southampton,1st,S,NA
Thayer,Mrs Marian Longstreth,39,Cherbourg,1st,S,NA
Thayer,Mr John Borland Jr,17,Cherbourg,1st,S,NA
Thorne,Miss Gertrude Maybelle,38,Cherbourg,1st,S,NA
Tucker,Mr Gilbert Milligan Jr,31,Cherbourg,1st,S,NA
Ward,Miss Annie Moore (Maid to Mrs Charlotte Cardeza),35,Cherbourg,1st,S,NA
Warren,Mrs Anna Sophia,60,Cherbourg,1st,S,NA
White,Mrs Ella,55,Cherbourg,1st,S,NA
Wick,Mrs Mary Peebles,45,Southampton,1st,S,NA
Wick,Miss Mary Natalie,31,Southampton,1st,S,NA
Widener,Mrs Eleanor,50,Southampton,1st,S,NA
Willard,Miss Constance,21,Southampton,1st,S,NA
Williams,Mr Richard Norris II,21,Cherbourg,1st,S,NA
Wilson,Miss Helen Alice (Maid to Mrs Frederic Oakley Spedden),31,Cherbourg,1st,S,NA
Woolner,Mr Hugh,45,Southampton,1st,S,NA
Young,Miss Marie Grice,36,Cherbourg,1st,S,NA
Abelson,Mrs Hannah,28,Cherbourg,2nd,S,NA
Angle,Mrs Florence Agnes,36,Southampton,2nd,S,NA
Balls,Mrs Ada E.,36,Southampton,2nd,S,NA
Beane,Mr Edward,32,Southampton,2nd,S,NA
Beane,Mrs Ethel,22,Southampton,2nd,S,NA
Becker,Mrs Nellie E.,35,Southampton,2nd,S,NA
Becker,Miss Ruth Elizabeth,12,Southampton,2nd,S,NA
Becker,Miss Marion Louise,4,Southampton,2nd,S,NA
Becker,Master Richard F.,1,Southampton,2nd,S,NA
Beesley,Mr Lawrence,34,Southampton,2nd,S,NA
Bentham,Miss Lillian W.,19,Southampton,2nd,S,NA
Brown,Mrs Elizabeth Catherine,40,Southampton,2nd,S,NA
Brown,Miss Amelia Mary,18,Southampton,2nd,S,NA
Brown,Miss Edith Eileen,15,Southampton,2nd,S,NA
Bryhl,Miss Dagmar Jenny Ingeborg,20,Southampton,2nd,S,NA
Buss,Miss Kate,36,Southampton,2nd,S,NA
Caldwell,Mrs Sylvia Mae,28,Southampton,2nd,S,NA
Caldwell,Mr Albert Francis,26,Southampton,2nd,S,NA
Caldwell,Master Alden Gates,10m,Southampton,2nd,S,NA
Cameron,Miss Clear Annie,35,Southampton,2nd,S,NA
Christy,Mrs Alice Frances,45,Southampton,2nd,S,NA
Christy,Miss Rachel Juli Cohen,25,Southampton,2nd,S,NA
Clarke,Mrs Ada Maria,28,Southampton,2nd,S,NA
Collett,Mr Sidney Clarence Stuart,25,Southampton,2nd,S,NA
Collyer,Mrs Charlotte Caroline,31,Southampton,2nd,S,NA
Collyer,Miss Marjorie Lottie,8,Southampton,2nd,S,NA
Cook,Mrs Selena,22,Southampton,2nd,S,NA
Davies,Mrs Agnes,48,Southampton,2nd,S,NA
Davies,Master John Morgan Jr,8,Southampton,2nd,S,NA
Davis,Miss Mary Ann Charlotte,28,Southampton,2nd,S,NA
Del Carlo,Mrs Argene,24,Cherbourg,2nd,S,NA
Drew,Mrs Maria Louisa Thorne,34,Southampton,2nd,S,NA
Drew,Master Marshall Brines,8,Southampton,2nd,S,NA
Durán I Moné,Señora Florentina,30,Cherbourg,2nd,S,NA
Durán I Moné,Señora Asuncion,27,Cherbourg,2nd,S,NA
Garside,Miss Ethel,39,Southampton,2nd,S,NA
Hämäläinen,Mrs Anna,23,Southampton,2nd,S,NA
Hämäläinen,Master Viljo Unto Johannes,7m,Southampton,2nd,S,NA
Harper,Miss Annie Jessie,6,Southampton,2nd,S,NA
Harris,Mr George,62,Southampton,2nd,S,NA
Hart,Mrs Esther Ada,48,Southampton,2nd,S,NA
Hart,Miss Eva Miriam,7,Southampton,2nd,S,NA
Herman,Mrs Jane,48,Southampton,2nd,S,NA
Herman,Miss Alice,23,Southampton,2nd,S,NA
Herman,Miss Kate,23,Southampton,2nd,S,NA
Hewlett,Mrs Mary Dunbar,56,Southampton,2nd,S,NA
Hocking,Mrs Eliza,54,Southampton,2nd,S,NA
Hocking,Miss Ellen,20,Southampton,2nd,S,NA
Hold,Mrs Annie Margaret,29,Southampton,2nd,S,NA
Hosono,Mr Masabumi,41,Southampton,2nd,S,NA
Jacobsohn,Mrs Amy Frances Christy,24,Southampton,2nd,S,NA
Jerwan,Mrs Marie Marthe,23,Cherbourg,2nd,S,NA
Kantor,Mrs Miriam,24,Southampton,2nd,S,NA
Keane,Miss Nora Agnes,46,Queenstown,2nd,S,NA
Kelly,Mrs Fanny Maria,45,Southampton,2nd,S,NA
Laroche,Mrs Juliette Marie Louise,22,Cherbourg,2nd,S,NA
Laroche,Miss Simonne Marie Anne Andrée,3,Cherbourg,2nd,S,NA
Laroche,Miss Louise,1,Cherbourg,2nd,S,NA
Lehmann,Miss Bertha,17,Cherbourg,2nd,S,NA
Leitch,Miss Jessie Wills,31,Southampton,2nd,S,NA
Lemore,Mrs Amelia,46,Southampton,2nd,S,NA
Mallet,Mrs Antonine Marie,24,Cherbourg,2nd,S,NA
Mallet,Master André Clement,1,Cherbourg,2nd,S,NA
Mellinger,Mrs Elizabeth Anne,41,Southampton,2nd,S,NA
Mellinger,Miss Violet Madeline,13,Southampton,2nd,S,NA
Mellors,Mr William John,19,Southampton,2nd,S,NA
Navratil,Master Michel Marcel,3,Southampton,2nd,S,NA
Navratil,Master Edmond Roger,2,Southampton,2nd,S,NA
Nye,Mrs Elizabeth,29,Southampton,2nd,S,NA
Oxenham,Mr Percy Thomas,22,Southampton,2nd,S,NA
Padron Manent,Mr Julian,26,Cherbourg,2nd,S,NA
Pallàs I Castelló,Señor Emili,29,Cherbourg,2nd,S,NA
Parrish,Mrs Lutie Davis,59,Southampton,2nd,S,NA
Phillips,Miss Alice Frances Louisa,21,Southampton,2nd,S,NA
Phillips,Miss Kate Florence,19,Southampton,2nd,S,NA
Pinsky,Mrs Rosa,32,Southampton,2nd,S,NA
Portaluppi,Mr Emilio Ilario Giuseppe,30,Cherbourg,2nd,S,NA
Quick,Mrs Jane,33,Southampton,2nd,S,NA
Quick,Miss Winifred Vera,8,Southampton,2nd,S,NA
Quick,Miss Phyllis May,2,Southampton,2nd,S,NA
Reynalds,Señora Encarnación,28,Southampton,2nd,S,NA
Richards,Mrs Emily,24,Southampton,2nd,S,NA
Richards,Master Sibley George,9m,Southampton,2nd,S,NA
Richards,Master William Rowe,3,Southampton,2nd,S,NA
Ridsdale,Miss Lucy,58,Southampton,2nd,S,NA
Rugg,Miss Emily,21,Southampton,2nd,S,NA
Shelley,Mrs Imanita Parrish,25,Southampton,2nd,S,NA
Silvén,Miss Lyyli Karoliina,17,Southampton,2nd,S,NA
Sincock,Miss Maude,20,Southampton,2nd,S,NA
Sinkkonen,Miss Anna,29,Southampton,2nd,S,NA
Slayter,Miss Hilda Mary,30,Queenstown,2nd,S,NA
Smith,Miss Marion Elsie,39,Southampton,2nd,S,NA
Toomey,Miss Ellen Mary,48,Southampton,2nd,S,NA
Trout,Mrs Jessie Laird,27,Southampton,2nd,S,NA
Troutt,Miss Edwina Celia,27,Southampton,2nd,S,NA
Wallcroft,Miss Ellen “Nellie”,36,Southampton,2nd,S,NA
Ware,Mrs Florence Louise,31,Southampton,2nd,S,NA
Watt,Mrs Elizabeth,40,Southampton,2nd,S,NA
Watt,Miss Robertha Josephine,12,Southampton,2nd,S,NA
Webber,Miss Susan,37,Southampton,2nd,S,NA
Weisz,Mrs Mathilde Françoise,37,Southampton,2nd,S,NA
Wells,Mrs Addie Dart,29,Southampton,2nd,S,NA
Wells,Miss Joan,4,Southampton,2nd,S,NA
Wells,Master Ralph Lester,2,Southampton,2nd,S,NA
West,Mrs Ada Mary,33,Southampton,2nd,S,NA
West,Miss Barbara Joyce,10m,Southampton,2nd,S,NA
West,Miss Constance Mirium,4,Southampton,2nd,S,NA
Whilems,Mr Charles,31,Southampton,2nd,S,NA
Wilkinson,Mrs Elizabeth Anne,35,Southampton,2nd,S,NA
Williams,Mr Charles Eugene,23,Southampton,2nd,S,NA
Wright,Miss Marion,26,Southampton,2nd,S,NA
Ab ī-Al-Munà,Mr Nās īf Qāsim,26,Cherbourg,3rd,S,NA
Abbott,Mrs Rhoda Mary “Rosa”,39,Southampton,3rd,S,NA
Abelseth,Miss Karen Marie,16,Southampton,3rd,S,NA
Abelseth,Mr Olaus Jørgensen,25,Southampton,3rd,S,NA
Abrahamsson,Mr Abraham August Johannes,20,Southampton,3rd,S,NA
Aks,Mrs Leah,18,Southampton,3rd,S,NA
Aks,Master Frank Philip,10m,Southampton,3rd,S,NA
Andersen-Jensen,Miss Carla Christine Nielsine,19,Southampton,3rd,S,NA
Andersson,Miss Erna Alexandra,17,Southampton,3rd,S,NA
Asplund,Master Edvin Rojj Felix,3,Southampton,3rd,S,NA
Asplund,Mr Johan Charles,23,Southampton,3rd,S,NA
Asplund,Mrs Selma Augusta Emilia,38,Southampton,3rd,S,NA
Asplund,Miss Lillian Gertrud,5,Southampton,3rd,S,NA
Assaf,Mrs Mariana,45,Cherbourg,3rd,S,NA
Ayoub Daher,Miss Banoura,15,Cherbourg,3rd,S,NA
Baclini,Mrs Latifa,24,Cherbourg,3rd,S,NA
Baclini,Miss Marie Catherine,5,Cherbourg,3rd,S,NA
Baclini,Miss Eugenie,3,Cherbourg,3rd,S,NA
Baclini,Miss Helene Barbara,9m,Cherbourg,3rd,S,NA
Badman,Miss Emily Louisa,18,Southampton,3rd,S,NA
Bing,Mr Lee,32,Southampton,3rd,S,NA
Bradley,Miss Bridget Delia,22,Queenstown,3rd,S,NA
Buckley,Mr Daniel,21,Queenstown,3rd,S,NA
Chip,Mr Chang,32,Southampton,3rd,S,NA
Cohen,Mr Gurshon,18,Southampton,3rd,S,NA
Connolly,Miss Catherine,23,Queenstown,3rd,S,NA
Corr,Miss Ellen,16,Queenstown,3rd,S,NA
Coutts,Mrs Winnie,36,Southampton,3rd,S,NA
Coutts,Master William Loch,9,Southampton,3rd,S,NA
Coutts,Master Neville Leslie,3,Southampton,3rd,S,NA
Cribb,Miss Laura Mae,16,Southampton,3rd,S,NA
Dahl,Mr Charles Edward,45,Southampton,3rd,S,NA
Daly,Miss Margaret Marcella,33,Queenstown,3rd,S,NA
Daly,Mr Eugene Patrick,29,Queenstown,3rd,S,NA
Davison,Mrs Mary Elizabeth,34,Southampton,3rd,S,NA
De Messemaeker,Mr Guillaume Joseph,36,Southampton,3rd,S,NA
De Messemaeker,Mrs Anna,36,Southampton,3rd,S,NA
De Mulder,Mr Theodoor,30,Southampton,3rd,S,NA
Dean,Mrs Eva Georgetta,32,Southampton,3rd,S,NA
Dean,Master Bertram Vere,1,Southampton,3rd,S,NA
Dean,Miss Elizabeth Gladys “Millvina”,2m,Southampton,3rd,S,NA
Devaney,Miss Margaret Delia,19,Queenstown,3rd,S,NA
Dorking,Mr Edward Arthur,18,Southampton,3rd,S,NA
Dowdell,Miss Elizabeth,31,Southampton,3rd,S,NA
Driscoll,Miss Bridget,27,Queenstown,3rd,S,NA
Duquemin,Mr Joseph Pierre,24,Southampton,3rd,S,NA
Dyker,Mrs Anna Elisabeth Judith,22,Southampton,3rd,S,NA
Emanuel,Miss Virginia Ethel,5,Southampton,3rd,S,NA
Finoli,Mr Luigi,34,Southampton,3rd,S,NA
Foo,Mr Choong,32,Southampton,3rd,S,NA
George/Joseph,Mrs Shawneene,38,Cherbourg,3rd,S,NA
Gilnagh,Miss Katherine,17,Queenstown,3rd,S,NA
Glynn,Miss Mary Agatha,19,Queenstown,3rd,S,NA
Goldsmith,Mrs Emily Alice,31,Southampton,3rd,S,NA
Goldsmith,Master Frank John William,9,Southampton,3rd,S,NA
Hakkarainen,Mrs Elin Matilda,24,Southampton,3rd,S,NA
Hannah,Mr Borak,27,Cherbourg,3rd,S,NA
Hansen,Mrs Jennie Louise,45,Southampton,3rd,S,NA
Healy,Miss Honor,29,Queenstown,3rd,S,NA
Hedman,Mr Oskar Arvid,27,Southampton,3rd,S,NA
Hee,Mr Ling,24,Southampton,3rd,S,NA
Hellström,Miss Hilda Maria,22,Southampton,3rd,S,NA
Hirvonen,Mrs Helga Elisabeth Lindqvist,22,Southampton,3rd,S,NA
Hirvonen,Miss Hildur Elisabeth,2,Southampton,3rd,S,NA
Howard,Miss May Elizabeth,26,Southampton,3rd,S,NA
Hyman,Mr Abraham Joseph,34,Southampton,3rd,S,NA
Ibrāhīm,Mrs Sāfiyah,18,Cherbourg,3rd,S,NA
Jalševac,Mr Ivan,29,Cherbourg,3rd,S,NA
Jansson,Mr Carl Olof,21,Southampton,3rd,S,NA
Jermyn,Miss Annie Jane,26,Queenstown,3rd,S,NA
Johannesen,Mr Bernt Johannes,29,Southampton,3rd,S,NA
Johansson Palmquist,Mr Oskar Leander,26,Southampton,3rd,S,NA
Johnson,Mrs Elisabeth Vilhelmina,26,Southampton,3rd,S,NA
Johnson,Master Harold Theodor,4,Southampton,3rd,S,NA
Johnson,Miss Eleanor Ileen,1,Southampton,3rd,S,NA
Jonsson,Mr Carl,25,Southampton,3rd,S,NA
Jussila,Mr Eiriik,32,Southampton,3rd,S,NA
Karlsson,Mr Einar Gervasius,21,Southampton,3rd,S,NA
Karun,Mr Franz,39,Cherbourg,3rd,S,NA
Karun,Miss Manca,4,Cherbourg,3rd,S,NA
Kelly,Miss Anna Katherine,20,Queenstown,3rd,S,NA
Kelly,Miss Mary,22,Queenstown,3rd,S,NA
Kink,Mr Anton,29,Southampton,3rd,S,NA
Kink-Heilmann,Mrs Luise,26,Southampton,3rd,S,NA
Kink-Heilmann,Miss Luise Gretchen,4,Southampton,3rd,S,NA
Krekorian,Mr Neshan,25,Cherbourg,3rd,S,NA
Lam,Mr Ali,38,Southampton,3rd,S,NA
Landergren,Miss Aurora Adelia,22,Southampton,3rd,S,NA
Lang,Mr Fang,32,Southampton,3rd,S,NA
Lindell,Mr Edvard Bengtsson,36,Southampton,3rd,S,NA
Lindell,Mrs Elin Gerda,30,Southampton,3rd,S,NA
Lindqvist,Mr Eino William,20,Southampton,3rd,S,NA
Livshin,Mr David,25,Southampton,3rd,S,NA
Lulic,Mr Nikola,29,Southampton,3rd,S,NA
Lundin,Miss Olga Elida,23,Southampton,3rd,S,NA
Lundström,Mr Thure Edvin,32,Southampton,3rd,S,NA
Madigan,Miss Margaret,21,Queenstown,3rd,S,NA
Madsen,Mr Fridtjof Arne,24,Southampton,3rd,S,NA
Mannion,Miss Margaret,28,Queenstown,3rd,S,NA
Māmā,Mr Hannā Mikā’ īl,18,Cherbourg,3rd,S,NA
McCarthy,Miss Catherine,24,Queenstown,3rd,S,NA
McCoy,Miss Agnes,29,Queenstown,3rd,S,NA
McCoy,Miss Alice,26,Queenstown,3rd,S,NA
McCoy,Mr Bernard,24,Queenstown,3rd,S,NA
